feature,coef,se,t,p,std_coef,pearson_r,MI,MI_frac
MedInc,0.39189,0.00358,109.61,0.0,0.6452,0.6881,0.4454,0.1253
HouseAge,0.00949,0.00045,21.06,1.9307058985500475e-97,0.1035,0.1056,0.0118,0.0033
AveRooms,-0.02463,0.00423,-5.83,5.75938141752916e-09,-0.0528,0.1519,0.0035,0.001
AveBedrms,0.21614,0.01838,11.76,8.066982274416377e-32,0.0972,-0.0456,0.0037,0.001
Population,-0.0,0.0,-0.48,0.6304814805086139,-0.0023,-0.0246,0.0038,0.0011
AveOccup,-0.00365,0.00049,-7.42,1.2465755665774218e-13,-0.0328,-0.0237,0.0007,0.0002
Latitude,-0.44684,0.00715,-62.53,0.0,-0.8271,-0.1442,0.1567,0.0441
Longitude,-0.45618,0.00752,-60.65,0.0,-0.792,-0.046,0.2421,0.0681
