通报日期,文号,抽检批次,不合格批次,来源URL
2024-12-29,2024年第30号,1588,31,https://www.samr.gov.cn:8890/zw/zfxxgk/fdzdgknr/spcjs/art/2025/art_8a75729e2325408e98c1a8d22a535a42.html
2025-11-29,市监食检发〔2025〕111号,2387,45,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/spcjs/art/2025/art_181963ff0f504834a76040606c981983.html
2026-01-30,市监食检发〔2026〕5号,2516,47,https://www.samr.gov.cn:3030/zw/zfxxgk/fdzdgknr/spcjs/art/2026/art_d3a96404007c43b38a642b6ab011a19f.html
2026-07-25,市监食检发〔2026〕92号,2474,47,https://www.samr.gov.cn:8060/zw/zfxxgk/fdzdgknr/spcjs/art/2026/art_4471df1845994192bfbb8d14035055a3.html
